date,date_float,value
02-01-2020,2020.00274,1
03-01-2020,2020.005479,0.994548916
06-01-2020,2020.013699,0.999415593
07-01-2020,2020.016438,1.004152373
08-01-2020,2020.019178,1.002921845
09-01-2020,2020.021918,1.004308436
10-01-2020,2020.024658,1.002880369
13-01-2020,2020.032877,1.006259972
14-01-2020,2020.035616,1.006481183
15-01-2020,2020.038356,0.995183903
16-01-2020,2020.041096,0.993284345
17-01-2020,2020.043836,0.993924483
21-01-2020,2020.054795,0.990057123
22-01-2020,2020.057534,0.987446972
23-01-2020,2020.060274,0.991989486
24-01-2020,2020.063014,0.993278569
27-01-2020,2020.071233,0.983195187
28-01-2020,2020.073973,0.98945906
29-01-2020,2020.076712,0.990489237
30-01-2020,2020.079452,0.984635362
31-01-2020,2020.082192,0.987076941
03-02-2020,2020.090411,0.987506121
04-02-2020,2020.093151,0.989012532
05-02-2020,2020.09589,0.993009829
06-02-2020,2020.09863,0.999400158
07-02-2020,2020.10137,0.998703222
10-02-2020,2020.109589,0.999984901
11-02-2020,2020.112329,1.005649684
12-02-2020,2020.115068,1.009882493
13-02-2020,2020.117808,1.003144145
14-02-2020,2020.120548,0.996142414
18-02-2020,2020.131507,0.991303455
19-02-2020,2020.134247,0.989791773
20-02-2020,2020.136986,0.986995899
21-02-2020,2020.139726,0.978634961
24-02-2020,2020.147945,0.969956372
25-02-2020,2020.150685,0.986635649
26-02-2020,2020.153425,0.998492222
27-02-2020,2020.156164,0.992022414
28-02-2020,2020.158904,1.000695074
02-03-2020,2020.167123,0.984520127
03-03-2020,2020.169863,0.979931188
04-03-2020,2020.172603,0.979794598
05-03-2020,2020.175342,0.9819642
06-03-2020,2020.178082,0.97990935
09-03-2020,2020.186301,0.983310891
10-03-2020,2020.189041,0.980877914
11-03-2020,2020.191781,0.979618177
12-03-2020,2020.194521,0.975899261
13-03-2020,2020.19726,0.984672152
16-03-2020,2020.205479,0.979799331
17-03-2020,2020.208219,0.999155278
18-03-2020,2020.210959,1.021726784
19-03-2020,2020.213699,1.027744085
20-03-2020,2020.216438,1.03910049
23-03-2020,2020.224658,1.086666446
24-03-2020,2020.227397,1.051571601
25-03-2020,2020.230137,1.010247501
26-03-2020,2020.232877,1.016792414
27-03-2020,2020.235616,1.014146402
30-03-2020,2020.243836,1.021277696
31-03-2020,2020.246575,1.037228217
01-04-2020,2020.249315,1.040524762
02-04-2020,2020.252055,1.038464299
03-04-2020,2020.254795,1.04921872
06-04-2020,2020.263014,1.039446833
07-04-2020,2020.265753,1.039492872
08-04-2020,2020.268493,1.030861642
09-04-2020,2020.271233,1.017762902
13-04-2020,2020.282192,1.04797893
14-04-2020,2020.284932,1.061826727
15-04-2020,2020.287671,1.084057461
16-04-2020,2020.290411,1.105508019
17-04-2020,2020.293151,1.075637594
20-04-2020,2020.30137,1.088446868
21-04-2020,2020.30411,1.078366464
22-04-2020,2020.306849,1.084179068
23-04-2020,2020.309589,1.082069428
24-04-2020,2020.312329,1.087339012
27-04-2020,2020.320548,1.065457443
28-04-2020,2020.323288,1.043013774
29-04-2020,2020.326027,1.04201322
30-04-2020,2020.328767,1.057028915
01-05-2020,2020.331507,1.053123155
04-05-2020,2020.339726,1.06273013
05-05-2020,2020.342466,1.061517932
06-05-2020,2020.345205,1.06896545
07-05-2020,2020.347945,1.0667228
08-05-2020,2020.350685,1.074225884
11-05-2020,2020.358904,1.089261622
12-05-2020,2020.361644,1.092135126
13-05-2020,2020.364384,1.095519085
14-05-2020,2020.367123,1.091514932
15-05-2020,2020.369863,1.084772036
